Designator,Mid X,Mid Y,Rotation,Layer
C1,218.5,-107.3,0.0,top
C10,206.683705,-111.683705,135.0,top
C11,207.97064,-112.97064,315.0,top
C12,209.3,-114.3,135.0,top
C13,204.2,-104.3,135.0,top
C14,215.0,-78.5,180.0,top
C15,209.7,-111.02,270.0,top
C16,215.4,-111.7,270.0,top
C17,219.9,-97.2,45.0,top
C2,219.9,-98.6,45.0,top
C3,218.085786,-99.485786,45.0,top
C4,221.0,-103.9,0.0,top
C5,219.0,-104.7,0.0,top
C6,218.7,-100.2,225.0,top
C7,219.2,-108.9,0.0,top
C8,208.68,-98.8,180.0,top
C9,208.52,-99.8,180.0,top
J1,213.25,-70.0,180.0,top
J2,200.87,-91.38,0.0,top
J3,225.63,-91.38,0.0,top
J4,213.3,-120.1,90.0,top
R1,216.7,-75.8,0.0,top
R2,210.6,-76.71,270.0,top
R3,220.8,-94.6,270.0,top
R4,219.8,-94.6,270.0,top
R5,213.0,-109.3,180.0,top
R6,212.3,-89.5,0.0,top
R7,214.7,-89.5,180.0,top
SW1,209.6,-86.8,270.0,top
U1,213.2625,-103.3,90.0,top
U2,213.7,-93.5,270.0,top
U4,217.4,-80.3,270.0,top
Y1,212.5,-111.7,0.0,top
